GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAA001,AAQ001,AAQ002,AAQ003,AAI001,AAM001,AAM002,non_white_free,non_white_slave,white,state_population,total_non_white_frree,total_non_white_slave,total_white,us_population
G090,1790,Connecticut,90,,Connecticut,1,0,237655,2771,2648,232236,2648,232236,5419,2771,2648,232236,237655,59557,697624,3172444,3929625
G100,1790,Delaware,100,,Delaware,11,0,59096,3899,8887,46310,8887,46310,12786,3899,8887,46310,59096,,,,
G130,1790,Georgia,130,,Georgia,44,0,82548,398,29264,52886,29264,52886,29662,398,29264,52886,82548,,,,
G240,1790,Maryland,240,,Maryland,52,0,319728,8043,103036,208649,103036,208649,111079,8043,103036,208649,319728,,,,
G250,1790,Massachusetts,250,,Massachusetts,3,0,475199,5905,0,469294,0,469294,5905,5905,0,469294,475199,,,,
G330,1790,New Hampshire,330,,New Hampshire,4,0,141899,630,157,141112,157,141112,787,630,157,141112,141899,,,,
G340,1790,New Jersey,340,,New Jersey,12,0,184139,2762,11423,169954,11423,169954,14185,2762,11423,169954,184139,,,,
G360,1790,New York,360,,New York,13,0,340241,4682,21193,314366,21193,314366,25875,4682,21193,314366,340241,,,,
G370,1790,North Carolina,370,,North Carolina,47,0,395005,5041,100783,289181,100783,289181,105824,5041,100783,289181,395005,,,,
G420,1790,Pennsylvania,420,,Pennsylvania,14,0,433611,6531,3707,423373,3707,423373,10238,6531,3707,423373,433611,,,,
G440,1790,Rhode Island,440,,Rhode Island,5,0,69112,3484,958,64670,958,64670,4442,3484,958,64670,69112,,,,
G450,1790,South Carolina,450,,South Carolina,48,0,249073,1801,107094,140178,107094,140178,108895,1801,107094,140178,249073,,,,
G465,1790,Southwest Territory,465,,Southwest Territory,54,0,35691,361,3417,31913,3417,31913,3778,361,3417,31913,35691,,,,
G500,1790,Vermont,500,,Vermont,6,0,85341,269,0,85072,0,85072,269,269,0,85072,85341,,,,
G510,1790,Virginia,510,,Virginia,40,0,821287,12980,305057,503250,305057,503250,318037,12980,305057,503250,821287,,,,
