GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGU001,1_enslaved,2_enslaved,3_enslaved,4_enslaved,5_enslaved,6_enslaved,7_enslaved,8_enslaved,9_enslaved,10_to_14_enslaved,15_to_19_enslaved,20_to_29_enslaved,30_to_39_enslaved,40_to_49_enslaved,50_to_69_enslaved,70_to_99_enslaved,100_to_199_enslaved,200_to_299_enslaved,300_to_499_enslaved,500_to_999_enslaved,1000_plus_enslaved,total_enslaved,total_enslaved_us,farm_count,farm_count_us,AREANAME,STATEICP,COUNTYICP,state_population,us_population,slaves_per_capita,farms_per_capita
G010,1860,Alabama,10,,Alabama,41,0,5607,3663,2805,2329,1986,1729,1411,1227,1036,3742,2164,2323,1253,768,791,550,312,24,10,0,0,435080,5607,3663,2805,2329,1986,1729,1411,1227,1036,3742,2164,2323,1253,768,791,550,312,24,10,0,0,435080,3953742,55128,2044077,Alabama,41,0,964201,31409044,0.4512337158,0.05717480069
G050,1860,Arkansas,50,,Arkansas,42,0,2339,1503,1070,894,730,569,463,404,369,1136,641,586,275,157,161,118,59,6,0,1,0,111115,2339,1503,1070,894,730,569,463,404,369,1136,641,586,275,157,161,118,59,6,0,1,0,111115,,39004,,Arkansas,42,0,435450,,0.2551728097,0.08957170743
G060,1860,California,60,,California,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18716,,California,71,0,379994,,0,0.04925340926
G090,1860,Connecticut,90,,Connecticut,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25180,,Connecticut,1,0,460147,,0,0.0547216433
G095,1860,Dakota Territory,95,,Dakota Territory,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,Dakota Territory,37,0,4837,,0,0.02542898491
G100,1860,Delaware,100,,Delaware,11,0,237,114,74,51,34,19,15,10,8,17,8,0,0,0,0,0,0,0,0,0,0,1798,237,114,74,51,34,19,15,10,8,17,8,0,0,0,0,0,0,0,0,0,0,1798,,6658,,Delaware,11,0,112216,,0.01602267056,0.05933200257
G110,1860,District Of Columbia,110,,District of Columbia,98,0,654,225,112,72,53,31,24,12,11,20,7,7,0,0,1,0,0,0,0,0,0,3185,654,225,112,72,53,31,24,12,11,20,7,7,0,0,1,0,0,0,0,0,0,3185,,238,,District of Columbia,98,0,75080,,0.04242141716,0.003169952051
G120,1860,Florida,120,,Florida,43,0,863,568,437,365,285,270,225,186,169,627,349,333,171,99,116,42,45,2,0,0,0,61745,863,568,437,365,285,270,225,186,169,627,349,333,171,99,116,42,45,2,0,0,0,61745,,6568,,Florida,43,0,140424,,0.4397040392,0.04677263146
G130,1860,Georgia,130,,Georgia,44,0,6713,4355,3482,2984,2543,2213,1839,1647,1415,4707,2823,2910,1400,739,729,373,181,23,7,1,0,462198,6713,4355,3482,2984,2543,2213,1839,1647,1415,4707,2823,2910,1400,739,729,373,181,23,7,1,0,462198,,62003,,Georgia,44,0,1057286,,0.4371551312,0.05864354583
G170,1860,Illinois,170,,Illinois,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143310,,Illinois,21,0,1711951,,0,0.0837115081
G180,1860,Indiana,180,,Indiana,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131826,,Indiana,22,0,1350428,,0,0.09761794039
G190,1860,Iowa,190,,Iowa,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61163,,Iowa,31,0,674913,,0,0.09062353222
G205,1860,Kansas Territory,205,,Kansas Territory,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,10400,,Kansas Territory,32,0,107206,,0.00001865567226,0.09700949574
G210,1860,Kentucky,210,,Kentucky,51,0,9306,5430,4009,3281,2694,2293,1951,1582,1273,3691,1580,1093,296,96,51,12,6,1,0,0,0,225483,9306,5430,4009,3281,2694,2293,1951,1582,1273,3691,1580,1093,296,96,51,12,6,1,0,0,0,225483,,90814,,Kentucky,51,0,1155684,,0.1951078322,0.07858030396
G220,1860,Louisiana,220,,Louisianna,45,0,4092,2573,2034,1536,1310,1103,858,771,609,2065,1157,1241,695,413,560,469,460,63,20,4,0,331726,4092,2573,2034,1536,1310,1103,858,771,609,2065,1157,1241,695,413,560,469,460,63,20,4,0,331726,,17328,,Louisianna,45,0,708002,,0.4685382245,0.02447450713
G230,1860,Maine,230,,Maine,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55698,,Maine,2,0,628279,,0,0.08865169773
G240,1860,Maryland,240,,Maryland,52,0,4119,1952,1279,1023,815,666,523,446,380,1173,545,487,179,81,75,24,15,0,1,0,0,87189,4119,1952,1279,1023,815,666,523,446,380,1173,545,487,179,81,75,24,15,0,1,0,0,87189,,25494,,Maryland,52,0,687049,,0.1269036124,0.0371065237
G250,1860,Massachusetts,250,,Massachusetts,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35601,,Massachusetts,3,0,1231066,,0,0.02891883944
G260,1860,Michigan,260,,Michigan,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62422,,Michigan,23,0,749113,,0,0.08332788244
G270,1860,Minnesota,270,,Minnesota,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18181,,Minnesota,33,0,172023,,0,0.1056893555
G280,1860,Mississippi,280,,Mississippi,46,0,4856,3201,2503,2129,1809,1585,1303,1149,1024,3432,2057,2322,1143,755,814,545,279,28,8,1,0,436631,4856,3201,2503,2129,1809,1585,1303,1149,1024,3432,2057,2322,1143,755,814,545,279,28,8,1,0,436631,,42840,,Mississippi,46,0,791305,,0.5517859738,0.05413841692
G290,1860,Missouri,290,,Missouri,34,0,6893,3754,2773,2243,1686,1384,1130,877,640,1734,666,349,120,33,26,8,4,0,0,0,0,114931,6893,3754,2773,2243,1686,1384,1130,877,640,1734,666,349,120,33,26,8,4,0,0,0,0,114931,,92792,,Missouri,34,0,1182012,,0.09723336142,0.07850343313
G315,1860,Nebraska Territory,315,,Nebraska Territory,35,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,2789,,Nebraska Territory,35,0,28841,,0.0005200929233,0.09670261087
G325,1860,Nevada Territory,325,,Nevada Territory,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,Nevada Territory,65,0,6857,,0,0.01327110981
G330,1860,New Hampshire,330,,New Hampshire,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30501,,New Hampshire,4,0,326073,,0,0.09354040353
G340,1860,New Jersey,340,,New Jersey,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27646,,New Jersey,12,0,672035,,0,0.04113773836
G355,1860,New Mexico Territory,355,,New Mexico Territory,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5086,,New Mexico Territory,66,0,93516,,0,0.05438641516
G360,1860,New York,360,,New York,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196990,,New York,13,0,3880735,,0,0.05076100275
G370,1860,North Carolina,370,,North Carolina,47,0,6440,4017,3068,2546,2245,1887,1619,1470,1228,4044,2029,1977,870,474,423,188,118,11,4,0,0,331059,6440,4017,3068,2546,2245,1887,1619,1470,1228,4044,2029,1977,870,474,423,188,118,11,4,0,0,331059,,75203,,North Carolina,47,0,992622,,0.3335197084,0.07576197183
G390,1860,Ohio,390,,Ohio,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179889,,Ohio,24,0,2339511,,0,0.07689170942
