GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001,AY1001,state_population,total_capital_invested_manufacturing,us_population,manufacture_k_per_capita
G010,1900,Alabama,10,,Alabama,41,0,1828697,1828697,70370080000,1828697,70370080,76212168,38.48099494
G025,1900,Alaska Territory,25,,Alaska Territory,81,0,63592,63592,3600409000,63592,3600409,,56.61732608
G045,1900,Arizona Territory,45,,Arizona Territory,61,0,122931,122931,10157408000,122931,10157408,,82.62690452
G050,1900,Arkansas,50,,Arkansas,42,0,1311564,1311564,35960640000,1311564,35960640,,27.4181359
G060,1900,California,60,,California,71,0,1485053,1485053,205395024000,1485053,205395024,,138.3082112
G080,1900,Colorado,80,,Colorado,62,0,539700,539700,62825472000,539700,62825472,,116.4081379
G090,1900,Connecticut,90,,Connecticut,1,0,908420,908420,314696736000,908420,314696736,,346.4220691
G100,1900,Delaware,100,,Delaware,11,0,184735,184735,41203240000,184735,41203240,,223.0397055
G110,1900,District Of Columbia,110,,District of Columbia,98,0,278718,278718,41981244000,278718,41981244,,150.6226509
G120,1900,Florida,120,,Florida,43,0,528542,528542,33107476000,528542,33107476,,62.63925289
G130,1900,Georgia,130,,Georgia,44,0,2216331,2216331,89789656000,2216331,89789656,,40.51274652
G155,1900,Hawaii Territory,155,,Hawaii Territory,82,0,154001,154001,11541656000,154001,11541656,,74.94533152
G160,1900,Idaho,160,,Idaho,63,0,161772,161772,2941524000,161772,2941524,,18.18314665
G170,1900,Illinois,170,,Illinois,21,0,4821550,4821550,776829568000,4821550,776829568,,161.116149
G178,1900,Indian Territory,178,,Indian Territory,97,0,392060,392060,2624265000,392060,2624265,,6.693529052
G180,1900,Indiana,180,,Indiana,22,0,2516462,2516462,234481536000,2516462,234481536,,93.179049
G190,1900,Iowa,190,,Iowa,31,0,2231853,2231853,102733104000,2231853,102733104,,46.03040792
G200,1900,Kansas,200,,Kansas,32,0,1470495,1470495,66827360000,1470495,66827360,,45.44548604
G210,1900,Kentucky,210,,Kentucky,51,0,2147174,2147174,104070792000,2147174,104070792,,48.46872773
G220,1900,Louisiana,220,,Louisianna,45,0,1381625,1381625,113084296000,1381625,113084296,,81.84876215
G230,1900,Maine,230,,Maine,2,0,694466,694466,122918824000,694466,122918824,,176.9976126
G240,1900,Maryland,240,,Maryland,52,0,1188044,1188044,163147264000,1188044,163147264,,137.3242607
G250,1900,Massachusetts,250,,Massachusetts,3,0,2805346,2805346,823264256000,2805346,823264256,,293.4626445
G260,1900,Michigan,260,,Michigan,23,0,2420982,2420982,284097120000,2420982,284097120,,117.3478861
G270,1900,Minnesota,270,,Minnesota,33,0,1751394,1751394,165832240000,1751394,165832240,,94.68585595
G280,1900,Mississippi,280,,Mississippi,46,0,1551270,1551270,35807420000,1551270,35807420,,23.08264841
G290,1900,Missouri,290,,Missouri,34,0,3106665,3106665,249888576000,3106665,249888576,,80.43628006
G300,1900,Montana,300,,Montana,64,0,243329,243329,40945848000,243329,40945848,,168.2736049
G310,1900,Nebraska,310,,Nebraska,35,0,1066300,1066300,71982128000,1066300,71982128,,67.50645034
G320,1900,Nevada,320,,Nevada,65,0,42335,42335,1472784000,42335,1472784,,34.78880359
G330,1900,New Hampshire,330,,New Hampshire,4,0,411588,411588,100929664000,411588,100929664,,245.2201328
G340,1900,New Jersey,340,,New Jersey,12,0,1883669,1883669,502824096000,1883669,502824096,,266.9386692
G355,1900,New Mexico Territory,355,,New Mexico Territory,66,0,195310,195310,2698786000,195310,2698786,,13.81796119
G360,1900,New York,360,,New York,13,0,7268894,7268894,1651210240000,7268894,1651210240,,227.161139
G370,1900,North Carolina,370,,North Carolina,47,0,1893810,1893810,76503896000,1893810,76503896,,40.396817
G380,1900,North Dakota,380,,North Dakota,36,0,319146,319146,5396490000,319146,5396490,,16.90915756
G390,1900,Ohio,390,,Ohio,24,0,4157545,4157545,605792256000,4157545,605792256,,145.7091279
G405,1900,Oklahoma Territory,405,,Oklahoma Territory,53,0,398331,398331,3352064000,398331,3352064,,8.415272725
G410,1900,Oregon,410,,Oregon,72,0,413536,413536,33422392000,413536,33422392,,80.82099745
G420,1900,Pennsylvania,420,,Pennsylvania,14,0,6302115,6302115,1551548672000,6302115,1551548672,,246.1949158
G440,1900,Rhode Island,440,,Rhode Island,5,0,428556,428556,183784592000,428556,183784592,,428.8461531
G450,1900,South Carolina,450,,South Carolina,48,0,1340316,1340316,67356464000,1340316,67356464,,50.25416693
G460,1900,South Dakota,460,,South Dakota,37,0,401570,401570,7578895000,401570,7578895,,18.87316035
G470,1900,Tennessee,470,,Tennessee,54,0,2020616,2020616,71814040000,2020616,71814040,,35.54066681
G480,1900,Texas,480,,Texas,49,0,3048710,3048710,90433880000,3048710,90433880,,29.66299845
G490,1900,Utah,490,,Utah,67,0,276749,276749,14650948000,276749,14650948,,52.93947946
G500,1900,Vermont,500,,Vermont,6,0,343641,343641,48547964000,343641,48547964,,141.2752378
G510,1900,Virginia,510,,Virginia,40,0,1854184,1854184,103670992000,1854184,103670992,,55.91192244
G530,1900,Washington,530,,Washington,73,0,518103,518103,52649760000,518103,52649760,,101.620257
G540,1900,West Virginia,540,,West Virginia,56,0,958800,958800,55904240000,958800,55904240,,58.30646642
G550,1900,Wisconsin,550,,Wisconsin,25,0,2069042,2069042,330568768000,2069042,330568768,,159.7689984
G560,1900,Wyoming,560,,Wyoming,68,0,92531,92531,2411435000,92531,2411435,,26.06083367
G999,1900,Persons in the Military,999,,Persons in Military,99,0,91219,91219,,91219,,,0
